id,created_at,updated_at,flight_identifier,flt_num,scheduled_origin_gate,scheduled_destination_gate,out_gmt,in_gmt,off_gmt,on_gmt,destination,origin,destination_full_name,origin_full_name
291518,2019-09-19 20:36:44,2019-09-19 20:36:44,6e46eff3-b32d-456c-85ec-aab5fbc91156,569,5,Any,2019-02-09 20:04:20,2019-02-09 21:27:39,2019-02-09 20:17:25,2019-02-09 21:22:25,LOS,SSG,Murtala Muhammed,Malabo
291484,2019-09-19 20:36:44,2019-09-19 20:36:44,cc499a30-6350-4501-9cdd-dfd840219ce4,1124,A06,D6,2019-02-09 20:08:57,2019-02-09 22:07:36,2019-02-09 20:43:07,2019-02-09 22:03:31,FLL,ATL,Ft Lauderdale-hollywood Intl,Hartsfield - Jackson Atlanta I
291453,2019-09-19 20:36:44,2019-09-19 20:36:44,1d814559-7c50-44a7-8bf5-ca5bd73224b2,673,C64,Any,2019-02-09 19:58:14,2019-02-10 06:31:42,2019-02-09 20:16:36,2019-02-10 06:25:22,FCO,GIG,Fiumicino,Canavieiras
291519,2019-09-19 20:36:44,2019-09-19 20:36:44,8069914d-ff2a-4fae-ae61-832f07fb4270,5383,E13,7,2019-02-09 19:57:20,2019-02-09 21:33:18,2019-02-09 20:14:11,2019-02-09 21:29:23,MLB,CLT,Melbourne Intl,Charlotte/douglas Intl
291454,2019-09-19 20:36:44,2019-09-19 20:36:44,388427ec-03ee-485d-9fd0-3aadd895df3c,2339,C15,9,2019-02-09 19:53:08,2019-02-10 02:25:59,2019-02-09 20:10:44,2019-02-10 02:21:36,BUR,BOS,Bob Hope,Logan Intl
291485,2019-09-19 20:36:44,2019-09-19 20:36:44,d4e132da-2d01-40a5-b0c4-721de070002c,3314,B9,A5,2019-02-09 20:07:58,2019-02-09 22:06:13,2019-02-09 20:17:53,2019-02-09 22:00:50,ORF,MDW,Norfolk Intl,Chicago Midway Intl
291520,2019-09-19 20:36:44,2019-09-19 20:36:44,93c521e2-d218-4f23-8e67-3042fa6559bb,1418,B05,4,2019-02-09 20:01:18,2019-02-09 21:06:51,2019-02-09 20:17:07,2019-02-09 21:03:43,ECP,ATL,NW Florida Beaches International,Hartsfield - Jackson Atlanta I
291455,2019-09-19 20:36:44,2019-09-19 20:36:44,416e1286-45ca-4760-b688-fba3e80cb171,1969,F10,A32,2019-02-09 20:01:37,2019-02-10 00:18:56,2019-02-09 20:17:35,2019-02-10 00:12:44,ATL,PHX,Hartsfield - Jackson Atlanta I,Phoenix Sky Harbor Intl
291521,2019-09-19 20:36:44,2019-09-19 20:36:44,978ffbd7-5e04-4a23-b105-303b02cf7149,5639,12,B26,2019-02-09 20:11:12,2019-02-09 21:57:55,2019-02-09 20:29:54,2019-02-09 21:52:13,CVG,PHL,Cincinnati/northern Ky Intl,Philadelphia Intl
291486,2019-09-19 20:36:44,2019-09-19 20:36:44,d5bc4bcc-f6d3-41f6-8c53-1421b669b024,1146,A7,Any,2019-02-09 20:06:01,2019-02-09 22:15:13,2019-02-09 20:20:22,2019-02-09 22:09:49,BIO,FRA,Bilbao,Frankfurt/main
291456,2019-09-19 20:36:44,2019-09-19 20:36:44,47b1772c-124d-4306-b134-ef0eeaf3fafc,7042,Any,Any,2019-02-09 19:57:31,2019-02-09 22:16:54,2019-02-09 20:06:41,2019-02-09 22:11:38,MAD,CAG,Barajas,Elmas Mil
291522,2019-09-19 20:36:44,2019-09-19 20:36:44,9f0673b9-8f44-4d84-a1ec-894dff39bf75,1784,B22,2,2019-02-09 20:02:02,2019-02-09 21:51:16,2019-02-09 20:19:07,2019-02-09 21:47:50,EYW,ATL,Key West Intl,Hartsfield - Jackson Atlanta I
291523,2019-09-19 20:36:44,2019-09-19 20:36:44,abce04a3-88a7-4ef9-8d5d-ae14e38f24c6,1777,2,E36,2019-02-09 19:54:53,2019-02-09 21:52:47,2019-02-09 20:11:45,2019-02-09 21:45:34,ATL,EYW,Hartsfield - Jackson Atlanta I,Key West Intl
291524,2019-09-19 20:36:44,2019-09-19 20:36:44,bbc0f807-78d5-4c0a-bd92-1421c446a62e,2266,5,A11,2019-02-09 19:57:28,2019-02-09 23:01:22,2019-02-09 20:08:02,2019-02-09 22:54:31,ATL,HDN,Hartsfield - Jackson Atlanta I,Yampa Valley
291525,2019-09-19 20:36:44,2019-09-19 20:36:44,bec01ab7-9928-407a-8257-2553c59a552e,2325,E13,C49,2019-02-09 19:49:11,2019-02-09 22:02:45,2019-02-09 20:04:14,2019-02-09 21:56:19,ATL,DFW,Hartsfield - Jackson Atlanta I,Dallas-ft Worth Intl
291526,2019-09-19 20:36:44,2019-09-19 20:36:44,d2822943-d87e-4a5e-8322-ce9de800a014,1284,1B,C2,2019-02-09 19:48:40,2019-02-10 00:20:59,2019-02-09 20:05:55,2019-02-10 00:14:21,IAD,SJD,Washington Dulles Intl,Los Cabos Intl
291527,2019-09-19 20:36:44,2019-09-19 20:36:44,db902283-5ff4-4cdf-be00-41bc1a3ffb3a,4962,37,B4,2019-02-09 20:00:53,2019-02-09 21:55:58,2019-02-09 20:17:26,2019-02-09 21:50:46,LEX,PHL,Blue Grass,Philadelphia Intl
291528,2019-09-19 20:36:44,2019-09-19 20:36:44,ef23ce2e-a2d3-4947-ad15-6147c3a62032,5085,35X,27,2019-02-09 20:08:36,2019-02-09 21:19:01,2019-02-09 20:23:18,2019-02-09 21:12:57,BDL,DCA,Bradley International,Ronald Reagan Washington Natl
291529,2019-09-19 20:36:44,2019-09-19 20:36:44,f6518580-efe0-459f-861f-60e46c831b97,3397,B7,A18,2019-02-09 20:02:01,2019-02-10 01:18:32,2019-02-09 20:11:11,2019-02-10 01:12:40,MDW,SJU,Chicago Midway Intl,Luis Munoz Marin Intl
291530,2019-09-19 20:36:44,2019-09-19 20:36:44,f83cc0bb-814f-470b-8f02-8abdad767d27,1661,B74,B31,2019-02-09 20:06:22,2019-02-09 21:54:06,2019-02-09 20:23:05,2019-02-09 21:48:19,ATL,IAD,Hartsfield - Jackson Atlanta I,Washington Dulles Intl
291531,2019-09-19 20:36:44,2019-09-19 20:36:44,ff16a33f-8b20-4c7f-b3da-c45dd5a8e003,102,14,Any,2019-02-09 20:02:12,2019-02-10 02:46:09,2019-02-09 20:19:24,2019-02-10 02:40:30,MCT,LHR,Muscat Intl,Heathrow
291532,2019-09-19 20:36:44,2019-09-19 20:36:44,06451baa-db3c-46b4-9389-6ba56b4b0a15,1402,C50,D4,2019-02-09 19:54:13,2019-02-09 21:26:00,2019-02-09 20:13:07,2019-02-09 21:22:17,MSY,ATL,Armstrong New Orleans Intl,Hartsfield - Jackson Atlanta I
291533,2019-09-19 20:36:44,2019-09-19 20:36:44,50c33327-d2d5-414a-a8e3-ed5cc6cc6684,861,6,11,2019-02-09 19:56:43,2019-02-09 22:05:16,2019-02-09 20:10:02,2019-02-09 21:59:53,DFW,HDN,Dallas-ft Worth Intl,Yampa Valley
291534,2019-09-19 20:36:44,2019-09-19 20:36:44,bb18b743-e0a1-4811-9131-0dfc1e3d0b9b,1234,H05,A02,2019-02-09 20:03:36,2019-02-09 22:15:09,2019-02-09 20:23:38,2019-02-09 22:08:57,ATL,MIA,Hartsfield - Jackson Atlanta I,Miami Intl
291535,2019-09-19 20:36:44,2019-09-19 20:36:44,0aef7734-1656-4e0d-9875-2a821e1aa33e,1670,B12,B74,2019-02-09 20:01:52,2019-02-09 21:50:19,2019-02-09 20:23:07,2019-02-09 21:44:02,IAD,ATL,Washington Dulles Intl,Hartsfield - Jackson Atlanta I
291536,2019-09-19 20:36:44,2019-09-19 20:36:44,ac5d7294-3ff4-4094-ac3b-9006207412a3,1576,6,M3A,2019-02-09 20:15:44,2019-02-10 01:43:19,2019-02-09 20:30:56,2019-02-10 01:37:56,ORD,LIR,Chicago-o'hare Intl,Daniel Oduber Quiros Intl
291537,2019-09-19 20:36:44,2019-09-19 20:36:44,0e11d9e5-84a0-47d1-8d7c-9a6cb17c1ed0,161,Any,Any,2019-02-09 19:55:04,2019-02-09 22:08:17,2019-02-09 20:09:33,2019-02-09 22:02:13,MTY,HUX,Gen Mariano Escobedo Intl,Bahias De Huatulco Intl
291538,2019-09-19 20:36:44,2019-09-19 20:36:44,18661c10-f9c5-4ea3-8ac7-27c3bd89b01b,1638,B24,59,2019-02-09 20:06:32,2019-02-09 22:34:14,2019-02-09 20:33:07,2019-02-09 22:29:25,MCI,ATL,Kansas City Intl,Hartsfield - Jackson Atlanta I
291539,2019-09-19 20:36:44,2019-09-19 20:36:44,4b870919-69b8-4599-a820-723251ecda22,3635,1,35,2019-02-09 20:01:50,2019-02-09 21:06:23,2019-02-09 20:11:29,2019-02-09 20:59:43,DFW,SWO,Dallas-ft Worth Intl,
291540,2019-09-19 20:36:44,2019-09-19 20:36:44,4d4f2c7d-8232-4938-8fa0-70a08076e022,156,27,TBA,2019-02-09 20:11:21,2019-02-10 06:55:05,2019-02-09 20:29:53,2019-02-10 06:49:19,CDG,LAX,Charles-de-gaulle,Los Angeles Intl
291541,2019-09-19 20:36:44,2019-09-19 20:36:44,ad64cdee-9ac2-415e-ac48-9b9695868fa2,2823,12,F1,2019-02-09 20:00:20,2019-02-09 21:48:56,2019-02-09 20:16:05,2019-02-09 21:43:48,PHX,COS,Phoenix Sky Harbor Intl,City Of Colorado Springs Mun
291542,2019-09-19 20:36:44,2019-09-19 20:36:44,06f95a0e-ebc3-42c5-a469-65c31735d77e,4487,B9,23,2019-02-09 20:07:34,2019-02-09 22:40:30,2019-02-09 20:24:14,2019-02-09 22:34:36,DCA,PBI,Ronald Reagan Washington Natl,Palm Beach Intl
291543,2019-09-19 20:36:44,2019-09-19 20:36:44,2e176b4e-f3cb-4725-ab37-5dbe4b296d53,854,5,Any,2019-02-09 20:08:46,2019-02-09 22:49:07,2019-02-09 20:24:04,2019-02-09 22:44:54,SBN,PIE,South Bend Regl,International
291544,2019-09-19 20:36:44,2019-09-19 20:36:44,8cf1ee60-9037-484c-ad2f-ad27e8003ad0,516,C12,G6,2019-02-09 19:59:31,2019-02-10 00:40:23,2019-02-09 20:17:08,2019-02-10 00:33:33,MSP,CUN,Minneapolis/St. Paul Intl,Cancun Intl
291545,2019-09-19 20:36:44,2019-09-19 20:36:44,de510095-c0d2-44c8-a044-4ae120dfae02,2021,B12,A32,2019-02-09 19:57:30,2019-02-09 21:48:50,2019-02-09 20:14:38,2019-02-09 21:42:08,ATL,DAY,Hartsfield - Jackson Atlanta I,Cox-dayton Intl
291546,2019-09-19 20:36:44,2019-09-19 20:36:44,e6f52675-6fc8-4e32-aad1-6d56268194d0,778,G5,E04,2019-02-09 20:02:03,2019-02-09 23:37:32,2019-02-09 20:17:07,2019-02-09 23:30:44,ATL,MBJ,Hartsfield - Jackson Atlanta I,Sangster Intl
291547,2019-09-19 20:36:44,2019-09-19 20:36:44,00b1fc87-1f86-4c01-b7d7-e06b94c71ff1,1156,7,81,2019-02-09 20:03:18,2019-02-10 00:01:15,2019-02-09 20:17:18,2019-02-09 23:55:21,EWR,EGE,Newark Liberty Intl,Eagle Co Regl
291548,2019-09-19 20:36:44,2019-09-19 20:36:44,03e27cba-9074-47d2-adbe-45e360066f9f,669,Any,Any,2019-02-09 20:27:41,2019-02-10 04:10:33,2019-02-09 20:38:46,2019-02-10 04:04:47,CDG,JIB,Charles-de-gaulle,
291549,2019-09-19 20:36:44,2019-09-19 20:36:44,1623fd31-cf1d-42f4-be49-a5f95ff12835,132,Any,Any,2019-02-09 20:01:13,2019-02-10 02:45:20,2019-02-09 20:20:00,2019-02-10 02:38:08,MCT,CDG,Muscat Intl,Charles-de-gaulle
291550,2019-09-19 20:36:44,2019-09-19 20:36:44,1638c1e6-3bf4-4297-8f5a-1ae967f3129b,1525,B11,61,2019-02-09 20:06:47,2019-02-10 01:06:05,2019-02-09 20:20:57,2019-02-10 00:59:03,EWR,PVR,Newark Liberty Intl,Lic Gustavo Diaz Ordaz Intl
291551,2019-09-19 20:36:44,2019-09-19 20:36:44,224a8998-e879-4100-a739-bfe0e332a57b,1959,C5,Any,2019-02-09 20:17:34,2019-02-09 23:33:10,2019-02-09 20:30:17,2019-02-09 23:25:44,PHX,DSM,Phoenix Sky Harbor Intl,Des Moines Intl
291552,2019-09-19 20:36:44,2019-09-19 20:36:44,2615e78e-715c-44f6-9b45-ab7db30d9578,778,1,H7,2019-02-09 19:55:09,2019-02-10 02:06:16,2019-02-09 20:01:52,2019-02-10 02:01:18,MSP,SKB,Minneapolis/St. Paul Intl,Bradshaw Intl
291553,2019-09-19 20:36:44,2019-09-19 20:36:44,3ade34c1-69d0-4042-8552-f1f6f74a7564,1035,Any,Any,2019-02-09 20:09:35,2019-02-09 20:56:24,2019-02-09 20:19:13,2019-02-09 20:50:29,PIT,FKL,Pittsburgh Intl,Venango Regl
291554,2019-09-19 20:36:44,2019-09-19 20:36:44,42f5eaf9-81aa-4b02-b218-66e02074dd26,1183,10,Any,2019-02-09 20:18:43,2019-02-09 21:48:56,2019-02-09 20:36:49,2019-02-09 21:42:39,SNN,LGW,Shannon,Gatwick
291457,2019-09-19 20:36:44,2019-09-19 20:36:44,496270f7-0047-4f6d-9f29-c44569606492,425,B01,46B,2019-02-09 20:02:18,2019-02-09 22:20:23,2019-02-09 20:21:07,2019-02-09 22:12:59,EWR,ATL,Newark Liberty Intl,Hartsfield - Jackson Atlanta I
291458,2019-09-19 20:36:44,2019-09-19 20:36:44,4b0863f6-b514-4725-8444-dfd4c462c03d,772,C4,A21,2019-02-09 19:52:35,2019-02-09 21:38:40,2019-02-09 20:09:08,2019-02-09 21:33:42,ATL,PBI,Hartsfield - Jackson Atlanta I,Palm Beach Intl
291459,2019-09-19 20:36:44,2019-09-19 20:36:44,554ce189-c9a8-4626-b782-c911845b3cc5,358,Any,Any,2019-02-09 20:04:18,2019-02-10 04:27:22,2019-02-09 20:20:50,2019-02-10 04:20:26,BRU,FIH,Brussels National,N'djili Intl
291460,2019-09-19 20:36:44,2019-09-19 20:36:44,5ebda32f-58ef-4a42-a86d-b73957787263,786,A4,E1,2019-02-09 20:03:40,2019-02-10 00:42:54,2019-02-09 20:16:43,2019-02-10 00:35:51,BOS,POP,Logan Intl,Gregorio Luperon Intl
291461,2019-09-19 20:36:44,2019-09-19 20:36:44,62427337-1736-4a99-bbb3-5b1364aa322a,1790,2,B01,2019-02-09 19:55:18,2019-02-09 22:06:45,2019-02-09 20:11:29,2019-02-09 22:00:19,ATL,ICT,Hartsfield - Jackson Atlanta I,Wichita Mid-continent
291462,2019-09-19 20:36:44,2019-09-19 20:36:44,6acc76ba-a217-47f6-b860-990ff3375991,4671,Any,Any,2019-02-09 19:55:09,2019-02-09 20:47:52,2019-02-09 20:08:36,2019-02-09 20:44:48,EIS,SJU,TERRANCE B LETTSOME INTL,Luis Munoz Marin Intl
291463,2019-09-19 20:36:44,2019-09-19 20:36:44,7752f4ad-071f-4268-8d42-85610c86c767,1476,7,133,2019-02-09 19:49:21,2019-02-10 00:28:54,2019-02-09 20:03:55,2019-02-10 00:21:01,EWR,SJD,Newark Liberty Intl,Los Cabos Intl
291464,2019-09-19 20:36:44,2019-09-19 20:36:44,779874f2-5318-436b-912f-d10128f992eb,1528,Any,Any,2019-02-09 19:49:24,2019-02-09 21:40:57,2019-02-09 19:59:03,2019-02-09 21:34:49,ACC,TMS,Kotoka Intl,Sao Tome International
291465,2019-09-19 20:36:44,2019-09-19 20:36:44,7ad836c0-471c-42f4-8596-9e31669dd126,4370,E1,9,2019-02-09 19:53:55,2019-02-09 22:13:12,2019-02-09 20:08:12,2019-02-09 22:08:13,PVD,ORD,Green State,Chicago-o'hare Intl
291466,2019-09-19 20:36:44,2019-09-19 20:36:44,832d6c8b-b953-44d3-9eba-f0f39e71c726,5729,C3,2,2019-02-09 19:58:05,2019-02-09 21:58:11,2019-02-09 20:18:19,2019-02-09 21:53:58,ABE,ORD,Lehigh Valley Intl,Chicago-o'hare Intl
291467,2019-09-19 20:36:44,2019-09-19 20:36:44,834b4428-c906-4e0e-b24d-f482348f4ee5,157,H19,Any,2019-02-09 20:07:46,2019-02-09 22:08:02,2019-02-09 20:24:08,2019-02-09 22:00:46,PRN,MUC,Pristina,Munich
291468,2019-09-19 20:36:44,2019-09-19 20:36:44,83c5c3ce-499d-4bc5-873b-381ab3affbbf,611,Any,A34,2019-02-09 20:11:32,2019-02-09 22:44:19,2019-02-09 20:25:39,2019-02-09 22:36:53,CPH,CMF,Kastrup,
291469,2019-09-19 20:36:44,2019-09-19 20:36:44,9293266e-9d61-4e0e-8b30-40e1c38c836c,2086,Any,Any,2019-02-09 20:12:40,2019-02-09 22:57:29,2019-02-09 20:22:38,2019-02-09 22:52:11,BGY,LIS,Orio Al Serio,Lisbon
291470,2019-09-19 20:36:44,2019-09-19 20:36:44,96746ec1-a66f-49c8-9e83-86b2dcb4cdce,1402,26,Any,2019-02-09 20:02:09,2019-02-09 23:53:28,2019-02-09 20:16:45,2019-02-09 23:50:20,AZS,YHZ,El Catey Intl,Stanfield Intl
291471,2019-09-19 20:36:44,2019-09-19 20:36:44,9697ce57-3d3f-4768-b913-3a56c944d159,502,26,Any,2019-02-09 20:14:32,2019-02-10 04:59:36,2019-02-09 20:32:25,2019-02-10 04:54:15,DUB,ADD,Dublin Intl,Bole Intl
291472,2019-09-19 20:36:44,2019-09-19 20:36:44,9eaa66d4-2c12-439e-98d8-773e0d99b63e,821,E17,C36,2019-02-09 20:06:37,2019-02-09 21:57:12,2019-02-09 20:22:45,2019-02-09 21:50:19,ATL,ORD,Hartsfield - Jackson Atlanta I,Chicago-o'hare Intl
291473,2019-09-19 20:36:44,2019-09-19 20:36:44,9f0f7a2b-f695-47b1-a51f-3c7be3c0ccf9,1831,B18,B23,2019-02-09 19:55:10,2019-02-09 21:32:47,2019-02-09 20:11:07,2019-02-09 21:28:24,ORF,ATL,Norfolk Intl,Hartsfield - Jackson Atlanta I
291474,2019-09-19 20:36:44,2019-09-19 20:36:44,9fc1fdba-2025-48cc-b71b-6da6278ab7ec,2999,A4B,B2,2019-02-09 19:58:27,2019-02-09 21:59:42,2019-02-09 20:12:42,2019-02-09 21:54:26,CHS,MDW,Charleston Afb/intl,Chicago Midway Intl
291475,2019-09-19 20:36:44,2019-09-19 20:36:44,9fdc7998-18e6-454c-abce-4595a1847dd1,1474,A3,C43,2019-02-09 19:57:14,2019-02-09 21:18:48,2019-02-09 20:14:30,2019-02-09 21:12:36,ATL,MYR,Hartsfield - Jackson Atlanta I,Myrtle Beach Intl
291476,2019-09-19 20:36:44,2019-09-19 20:36:44,a0e509ed-d8ca-4000-8c2b-118147a3dd0b,8022,G26,Any,2019-02-09 20:03:16,2019-02-09 21:12:24,2019-02-09 20:22:00,2019-02-09 21:08:22,LUX,CDG,Luxembourg,Charles-de-gaulle
291477,2019-09-19 20:36:44,2019-09-19 20:36:44,a76825ae-18de-4908-9e1f-b19a1f656085,1746,D11,B19,2019-02-09 19:58:26,2019-02-09 22:27:43,2019-02-09 20:13:58,2019-02-09 22:20:41,ATL,LGA,Hartsfield - Jackson Atlanta I,La Guardia
291478,2019-09-19 20:36:44,2019-09-19 20:36:44,ad685792-f041-4a85-84a0-25bd6127b2ed,142,Any,Any,2019-02-09 19:53:19,2019-02-10 03:50:46,2019-02-09 20:11:26,2019-02-10 03:44:36,DEL,CDG,Indira Gandhi Intl,Charles-de-gaulle
291576,2019-09-19 20:36:44,2019-09-19 20:36:44,aa78e213-484d-43a9-a26b-fa4f6182ddc3,2048,A10,D5,2019-02-09 20:11:59,2019-02-09 21:38:10,2019-02-09 20:35:07,2019-02-09 21:32:43,RDU,ATL,Raleigh-durham Intl,Hartsfield - Jackson Atlanta I
291577,2019-09-19 20:36:44,2019-09-19 20:36:44,5d12059e-9a5c-4763-99ba-2b2d6e1d30f9,5860,4,31,2019-02-09 20:08:41,2019-02-09 21:47:05,2019-02-09 20:24:40,2019-02-09 21:40:23,DFW,JAN,Dallas-ft Worth Intl,Jackson-evers Intl
291578,2019-09-19 20:36:44,2019-09-19 20:36:44,667f048d-9877-4095-b23c-f5a7537b34d8,5834,B21,Any,2019-02-09 20:13:17,2019-02-09 23:43:46,2019-02-09 20:25:28,2019-02-09 23:37:58,FSD,PHX,Foss,Phoenix Sky Harbor Intl
291579,2019-09-19 20:36:44,2019-09-19 20:36:44,d8ba61ab-5eb1-4270-9a75-9a8506b61f31,2049,B21,17,2019-02-09 20:17:29,2019-02-09 21:59:10,2019-02-09 20:49:07,2019-02-09 21:52:54,JAN,ATL,Jackson-evers Intl,Hartsfield - Jackson Atlanta I
291580,2019-09-19 20:36:44,2019-09-19 20:36:44,dba1e28b-1441-4081-baa9-92e541319fe0,3091,1,B18,2019-02-09 20:06:24,2019-02-09 22:24:21,2019-02-09 20:17:14,2019-02-09 22:18:28,PHX,MFR,Phoenix Sky Harbor Intl,Rogue Valley Intl-medford
291581,2019-09-19 20:36:44,2019-09-19 20:36:44,0d58fe8f-dbe7-462f-9189-3f33d4e33a91,863,4,E06,2019-02-09 20:02:11,2019-02-10 00:38:32,2019-02-09 20:17:16,2019-02-10 00:32:44,ATL,SKB,Hartsfield - Jackson Atlanta I,Bradshaw Intl
291582,2019-09-19 20:36:44,2019-09-19 20:36:44,79fdfee3-662b-4b10-a39e-6098cf2d33b6,1443,14,A05,2019-02-09 19:56:39,2019-02-09 23:59:55,2019-02-09 20:12:19,2019-02-09 23:52:44,ATL,PSP,Hartsfield - Jackson Atlanta I,Palm Springs Intl
291583,2019-09-19 20:36:44,2019-09-19 20:36:44,7d8e4821-74c7-430a-861c-216237d5b87f,5693,B2,18,2019-02-09 20:13:33,2019-02-09 22:27:18,2019-02-09 20:28:32,2019-02-09 22:22:47,PHL,BHM,Philadelphia Intl,Birmingham-shuttlesworth Intl
291584,2019-09-19 20:36:44,2019-09-19 20:36:44,969a47e4-5642-4928-8fd6-908cf723a571,37,Any,Any,2019-02-09 20:09:56,2019-02-09 21:00:33,2019-02-09 20:25:17,2019-02-09 20:57:17,MAZ,SJU,Eugenio Maria De Hostos,Luis Munoz Marin Intl
291585,2019-09-19 20:36:44,2019-09-19 20:36:44,bd210da9-44d9-435c-bbd7-f1ac0a704fa8,5033,B24,E29,2019-02-09 20:14:44,2019-02-09 21:40:10,2019-02-09 20:26:07,2019-02-09 21:34:35,CLT,CVG,Charlotte/douglas Intl,Cincinnati/northern Ky Intl
291586,2019-09-19 20:36:44,2019-09-19 20:36:44,2c3597e0-93e7-4737-8ed9-999c9bdf0d7a,1148,2,E3,2019-02-09 20:04:34,2019-02-10 00:42:37,2019-02-09 20:21:08,2019-02-10 00:37:51,BOS,PAP,Logan Intl,Toussaint Louverture Intl
291587,2019-09-19 20:36:44,2019-09-19 20:36:44,7041687a-7962-4228-8771-5b53ca2c73d4,5062,E14,7,2019-02-09 20:13:51,2019-02-09 21:57:56,2019-02-09 20:30:51,2019-02-09 21:52:50,PNS,CLT,Pensacola Regl,Charlotte/douglas Intl
291588,2019-09-19 20:36:44,2019-09-19 20:36:44,7abf1780-cc3f-452d-91b2-4a30b59d97a6,5633,B32,E8,2019-02-09 20:11:18,2019-02-09 21:32:49,2019-02-09 20:23:16,2019-02-09 21:28:36,CLT,PIT,Charlotte/douglas Intl,Pittsburgh Intl
291589,2019-09-19 20:36:44,2019-09-19 20:36:44,0af57af3-ca48-4936-b7de-731b437e37d3,89,26,19,2019-02-09 20:27:21,2019-02-10 08:58:20,2019-02-09 20:46:33,2019-02-10 08:51:15,PVG,LAX,PuDong,Los Angeles Intl
291590,2019-09-19 20:36:44,2019-09-19 20:36:44,242a787c-10c7-43c2-ab77-c416aedee3c9,4602,Any,Any,2019-02-09 20:19:53,2019-02-09 21:36:46,2019-02-09 20:36:46,2019-02-09 21:31:59,NEV,SJU,Vance Winkworth Amory,Luis Munoz Marin Intl
291591,2019-09-19 20:36:44,2019-09-19 20:36:44,3647c6c6-911d-494b-a1a4-a37d0dafca76,669,B11,4,2019-02-09 20:14:11,2019-02-09 21:49:33,2019-02-09 20:47:07,2019-02-09 21:43:40,PNS,ATL,Pensacola Regl,Hartsfield - Jackson Atlanta I
